Spectral Type,(V-R)0,(V-I)0,(V-J)0,(V-H)0,(V-K)0,(V-L)0,(V-M)0,(V-N)0
G3,0.43,0.75,0.83,1.32,1.36,1.44,1.38,1.37
G3.5,0.44,0.77,0.86,1.35,1.4,1.47,1.42,1.4
G4,0.45,0.79,0.89,1.38,1.45,1.51,1.46,1.44
G5,0.48,0.83,0.94,1.44,1.53,1.58,1.53,1.51
G8,0.55,0.95,1.11,1.61,1.77,1.79,1.73,1.75
G9,0.57,0.99,1.17,1.66,1.85,1.88,1.82,1.83
G9.5,0.58,1.01,1.2,1.69,1.9,1.92,1.86,1.88
K0,0.6,1.03,1.23,1.72,1.94,1.97,1.9,1.92
K0.5,0.63,1.07,1.3,1.79,2.03,2.07,2,2.02
K1,0.66,1.12,1.37,1.87,2.12,2.17,2.09,2.11
K2,0.74,1.23,1.56,2.08,2.36,2.44,2.35,2.37
K2.5,0.8,1.3,1.69,2.23,2.52,2.62,2.52,2.54
K3,0.86,1.39,1.84,2.4,2.69,2.82,2.7,2.73
K3.5,0.91,1.49,1.99,2.73,2.86,3.01,2.88,2.91
K4,0.96,1.61,2.16,2.77,3.05,3.22,3.08,3.02
K5,0.99,1.67,2.25,2.87,3.14,3.33,3.18,3.21
M0,1.09,1.91,2.55,3.23,3.46,3.69,3.51,3.54
M0.5,1.13,1.98,2.64,3.33,3.55,3.79,3.61,3.64
M1,1.16,2.07,2.73,3.45,3.64,3.9,3.7,3.74
M2,1.27,2.32,2.99,3.76,3.89,4.18,3.96,4
M3,1.39,2.61,3.25,4.08,4.13,4.46,4.22,4.26
M4,1.58,3.04,3.58,4.49,4.42,4.79,4.52,4.56
M4.5,1.7,3.32,3.76,4.73,4.57,4.97,4.69,4.73
M5,1.85,3.67,3.95,4.98,4.73,5.15,4.86,4.9
M6,2.24,4.53,4.34,5.5,5.04,5.51,5.18,5.23
