Spectral Type,(V-R)0,(V-I)0,(V-J)0,(V-H)0,(V-K)0,(V-L)0,(V-M)0,(V-N)0
B0,-0.22,-0.44,-0.8,-0.92,-0.97,-1.13,-1,
B0.5,-0.2,-0.43,-0.77,-0.89,-0.95,-1.11,-0.99,
B1,-0.18,-0.42,-0.73,-0.85,-0.93,-1.08,-0.96,
B1.5,-0.17,-0.41,-0.7,-0.82,-0.91,-1.05,-0.94,
B2,-0.15,-0.4,-0.67,-0.79,-0.89,-1.02,-0.92,
B2.5,-0.14,-0.39,-0.64,-0.76,-0.86,-0.97,-0.88,-0.96
B3,-0.13,-0.38,-0.6,-0.72,-0.82,-0.92,-0.84,-0.91
B3.5,-0.12,-0.37,-0.58,-0.7,-0.8,-0.9,-0.82,-0.87
B4,-0.11,-0.35,-0.56,-0.68,-0.77,-0.86,-0.79,-0.84
B4.5,-0.11,-0.34,-0.54,-0.65,-0.74,-0.83,-0.76,-0.8
B5,-0.1,-0.33,-0.51,-0.62,-0.71,-0.78,-0.73,-0.75
B6,-0.09,-0.29,-0.46,-0.57,-0.64,-0.7,-0.65,-0.66
B7,-0.08,-0.26,-0.41,-0.51,-0.57,-0.61,-0.58,-0.58
B7.5,-0.08,-0.24,-0.39,-0.48,-0.54,-0.57,-0.54,-0.53
B8,-0.07,-0.22,-0.36,-0.45,-0.49,-0.52,-0.49,-0.48
B8.5,-0.07,-0.18,-0.31,-0.4,-0.43,-0.43,-0.42,-0.39
B9,-0.06,-0.14,-0.26,-0.34,-0.33,-0.34,-0.34,-0.3
B9.5,-0.03,-0.11,-0.22,-0.29,-0.26,-0.27,-0.26,-0.22
A0,-0.01,-0.05,-0.16,-0.19,-0.17,-0.18,-0.18,-0.14
A1,0.01,-0.03,-0.11,-0.12,-0.11,-0.12,-0.13,-0.08
A2,0.03,0,-0.07,-0.04,-0.05,-0.07,-0.08,-0.02
A3,0.05,0.02,-0.02,0.03,0.01,-0.01,-0.02,0.03
A4,0.07,0.07,0.03,0.11,0.08,0.05,-0.04,0.09
A5,0.1,0.12,0.09,0.19,0.15,0.12,0.1,0.16
A6,0.11,0.16,0.13,0.3,0.21,0.17,0.15,0.21
A7,0.13,0.19,0.18,0.32,0.27,0.23,0.2,0.26
A8,0.16,0.26,0.25,0.42,0.36,0.33,0.29,0.34
A9,0.18,0.31,0.31,0.49,0.44,0.41,0.36,0.41
F0,0.21,0.36,0.37,0.57,0.52,0.49,0.43,0.48
F1,0.23,0.4,0.43,0.64,0.58,0.57,0.49,0.54
F2,0.25,0.45,0.48,0.71,0.66,0.66,0.56,0.6
F5,0.33,0.57,0.67,0.93,0.89,0.9,0.77,0.8
F8,0.37,0.64,0.79,1.06,1.03,1.06,0.91,0.91
G0,0.41,0.7,0.87,1.15,1.14,1.18,1.01,1.01
G2,0.45,0.75,0.97,1.25,1.26,1.31,1.12,1.11
G3,0.45,0.76,0.98,1.27,1.28,1.33,1.14,1.13
G5,0.47,0.78,1.02,1.31,1.32,1.38,1.18,1.17
G8,0.52,0.85,1.14,1.44,1.47,1.55,1.34,1.3
K0,0.61,0.97,1.34,1.67,1.74,1.85,1.61,1.54
K1,0.67,1.05,1.46,1.8,1.89,2.02,1.78,1.68
K2,0.73,1.14,1.6,1.94,2.06,2.21,1.97,1.84
K3,0.8,1.25,1.73,2.09,2.23,2.4,2.17,2.01
K4,0.86,1.34,1.84,2.22,2.38,2.57,2.36,2.15
K5,0.97,1.54,2.04,2.46,2.66,2.87,2.71,2.44
K7,1.13,1.86,2.3,2.78,3.01,3.25,3.21,2.83
M0,1.26,2.15,2.49,3.04,3.29,3.54,3.65,3.16
M1,1.36,2.36,2.61,3.22,3.47,3.72,3.95,3.39
M2,1.46,2.62,2.74,3.42,3.67,3.92,4.31,3.66
M3,1.56,2.84,2.84,3.58,3.83,4.08,4.62,3.89
M4,1.65,3.07,2.93,3.74,3.98,4.22,4.93,4.11
